index,word,meaning,spelling,kanji
1,男性,man,dansei,nam tính
2,女性,woman,josei,nữ tính
3,高齢,"old age, advanced age",kourei,cao linh
4,年上,elder,toshiue,niên thượng
5,目上,superior,meue,mục thượng
6,先輩,senior,senpai,tiền bối
7,後輩,junior,kouhai,hậu bối
8,上司,boss,joushi,thượng ti
9,相手,"other person, opponent",aite,tương thủ
10,知り合い,acquaintance,shiriai,tri hợp
11,友人,friend,juujin,hữu nhân
12,仲,relations,naka,trọng
13,生年月日,date of birth,seinengappi,sanh niên nguyệt nhật
14,誕生,birth,tanjou,đản sanh
15,年,"year, age",toshi,niên
16,出身,"origin, homeland",shusshin,xuất thân
17,故郷,hometown,kokyou,cố hương
18,成長,growth,seichou,thành trưởng
19,成人,adult,seijin,thành nhân
20,合格,"passing, acceptance",goukaku,hợp cách
21,進学,going to higher school,shingaku,tiến học
22,退学,"expulsion, dropping out",taigaku,thoái học
23,就職,"getting employed, finding employment",shuushoku,tựu chức
24,退職,"resignation, retirement",taishoku,thoái chức
25,失業,unemployment,shitsugyou,thất nghiệp
26,残業,overtime work,zangyou,tàn nghiệp
27,生活,life,seikatsu,sanh hoạt
28,通勤,commuting (to work),tsuukin,thông cần
29,学歴,educational background,gakureki,học lịch
30,給料,"salary, pay",kyuuryou,cấp liêu
31,面接,interview,mensetsu,diện tiếp
32,休憩,break,kyuukei,hưu khế
33,観光,"tourism, sightseeing",kankou,quan quang
34,帰国,returning to one's country,kikoku,quy quốc
35,帰省,returning to one's hometown,kisei,quy tỉnh
36,帰宅,going home,kitaku,quy trạch
37,参加,participation,sanka,tham gia
38,出席,attendance,shusseki,xuất tịch
39,欠席,absence,kesseki,khiếm tịch
40,遅刻,arriving late,chikoku,trì khắc
41,化粧,makeup,keshou,hóa trang
42,計算,calculation,keisan,kế toán
43,計画,plan,keikaku,kế họa
44,成功,success,seikou,thành công
45,失敗,failure,shippai,thất bại
46,準備,preparation,junbi,chuẩn bị
47,整理,"organizing, arrangement, disposal",seiri,chỉnh lí
48,注文,"order, request",chuumon,chú văn
49,貯金,"savings, depositing",chokin,trữ kim
50,徹夜,staying up all night,tetsuya,triệt dạ
51,引っ越し,move,hikkoshi,dẫn việt
52,身長,body height,shinchou,thân trường
53,体重,body weight,taijuu,thể trọng
54,けが,injury,kega,không
55,会,party,kai,hội
56,趣味,"hobby, interest, taste",shumi,thú vị
57,興味,interest,kyoumi,hưng vị
58,思い出,memory,omoide,tư xuất
59,冗談,joke,joudan,nhũng đàm
60,目的,purpose,mokuteki,mục đích
61,約束,"promise, appointment",yakusoku,ước thúc
62,おしゃべり,"chatting, talkativeness",oshaberi,không
63,遠慮,"reserve, refraining",enryo,viễn lự
64,我慢,"endurance, patience",gaman,ngã mạn
65,迷惑,nuisance,meiwaku,mê hoặc
66,希望,"hope, wish",kibou,hi vọng
67,夢,dream,yume,mộng
68,賛成,"agreement, support",sansei,tán thành
69,反対,"opposite, opposition",hantai,phản đối
70,想像,imagination,souzou,tưởng tượng
71,努力,effort,doryoku,nỗ lực
