Word,Meaning,Spelling,Kanji
効く,"be effective, work right",kiku,hiệu
はやる,be popular; (disease) spreads,hayaru,không
経つ,"elapse, pass",tatsu,kinh
間に合う<自＞,make it on time,maniau,gian hợp
間に合せる<地＞,finish on time,maniawaseru,gian hợp
通う,"commute, go regularly; understand (someone's feelings)",kayou,thông
混む,be crowded,komu,hỗn
すれ違う,pass each other;miss,surechigau,vi
掛かる<自＞,"be covered; take (time, money, etc.); be subjected to; (engine) starts",kakaru,quải
掛ける<地＞,"cover; take (one's time); start (an engine), multiply",kakeru,quải
動く,move; work; take action,ugoku,động
動かす<地＞,move; work (a machine); set in motion,ugokasu,động
離れる<自＞,"be away from, be apart (in age, etc.)",hanareru,li
離す＜地＞,move apart; let go,hanasu,li
ぶつかる＜自＞,collide; disagree; confict,butsukaru,không
ぶつける＜地＞,crash into,butsukeru,không
こぼれる＜自＞,be spilled; (tears) are shed,koboreru,không
こぼす＜地＞,spill; shed (tears),kobosu,không
ふく,wipe,fuku,không
片付く＜自＞,be tidied; be finished; be settled,kataduku,phiến phó
片付ける＜地＞,"tidy, finish, settle",katadukeru,phiến phó
包む,wrap,tsutsumu,bao
張る,put up (a poster); affix,haru,trương
無くなる＜自＞,be lost,nakunaru,vô
無くす＜地＞,lose,nakusu,vô
足りる,be sufficient,tariru,túc
残る＜自＞,"be left over, remain",nokoru,tàn
残す＜地＞,"not finish (eating); only (something) remains, leave behind",nokosu,tàn
腐る,rot,kusaru,hủ
むける＜自＞,peel off,mukeru,không
むく,peel,muku,không
滑る,skate; slip,suberu,hoạt
積もる,accumulate,tsumoru,tích
積む,pile; lay (bricks); load; accumulate,tsumu,tích
空く＜自＞,(a hole) opens; be vacant; be avaiable,aku,không
空ける,open (a hole); vacate (a seat); keep open (a date),akeru,không
下がる＜自＞,go down; step back,sagaru,hạ
下げる＜地＞,lower; take away,sageru,hạ
冷える＜自＞,be chilled; feel chilly,hieru,lãnh
冷やす＜地＞,chill; calm down,hiyasu,lãnh
冷める<自＞,get cold; lose passion,sameru,lãnh
冷ます,allow (something) to cool,samasu,lãnh
燃える＜自＞,burn; be passionate,moeru,nhiên
燃やす＜地＞,"burn (something); burn with (passion, etc.)",moyasu,nhiên
沸く＜自＞,boil; (bath) is ready; become excited,waku,phí
沸かす＜地＞,boil; prepare (a bath); excite,wakasu,phí
鳴る＜自＞,rumble; ring,naru,minh
鳴らす＜地＞,sound (a buzzer),narasu,minh
役立つ/役に立つ＜自＞,"be helpful, be of use",yakudatsu/yakunitatsu,dịch　lập
役立てる/役に立てる＜地＞,put to use,yakudateru/yakunitateru,dịch lập
