index,Word,Meaning,Spelling,Kanji
371,確認,confirmation,kakunin,xác nhận
372,利用,"use, exploitation",riyou,lợi dụng
373,理解,understanding,rikai,lý giả
374,発見,discovery,hakken,phát kiến
375,発明,invention,hatsumei,phát minh
376,関係,relationship,kankei,quan hệ
377,団体,group,dantai,đoàn thể
378,選挙,election,senkyo,tuyển cử
379,税金,tax,zeikin,thuế kim
380,責任,responsibility,sekinin,trách nhiệm
381,書類,"form, document",shorui,thư loại
382,題名,title,daimei,đề danh
383,条件,condition,jouken,điều kiện
384,締め切り,deadline,shimekiri,đế thiết
385,期間,period,kikan,kỳ gian
386,倍,"double, ~ times",bai,bội
387,くじ,(drawing a) lot,kuji,không
388,近道,shortcut,chikamichi,cận đạo
389,中心,center,chuushin,trung tâm
390,辺り,"surroundings, around",atari,biên
391,周り/回り,"circumference, (things/people) around someone/something",mawari,chu/hồi
392,穴,hole,ana,huyệt
393,列,"line, row",retsu,liệt
394,幅,"width, range",haba,phúc
395,範囲,"scope, extent",hani,phạm vi
396,内容,content,naiyou,nội dung
397,中身,contents; gist,nakami,trung thân
398,特徴,"feature, distinctiveness",tokuchou,đặc trưng
399,普通,"ordinary, normal",futsuu,phổ thông
400,当たり前,natural,atarimae,đương tiền
401,偽,fake,nise,ngụy
402,別,"difference, distinction",betsu,biệt
403,国籍,nationality,kokuseki,quốc tịch
404,東洋,"the East, the Orient",touyou,đông dương
405,西洋,"the West, the Occident",seiyou,tây dương
406,国際,international,kokusai,quốc tế
407,自然,nature,shizen,tự nhiên
408,景色,scenery,keshiki,cảnh sắc
409,宗教,religion,shuukyou,tông giáo
410,愛,love,ai,ái
